,participants_count,injured_count,dead_count,scheme,point_lat,point_long,month,day,time,Тяжесть_Легкий,Тяжесть_С погибшими,Тяжесть_Тяжелый,Район_Адмиралтейский район,Район_Василеостровский район,Район_Выборгский район,Район_Калининский район,Район_Кировский район,Район_Колпинский район,Район_Красногвардейский район,Район_Красносельский район,Район_Кронштадтский район,Район_Курортный район,Район_Московский район,Район_Невский район,Район_Петроградский район,Район_Петродворцовый район,Район_Приморский район,Район_Пушкинский район,Район_Фрунзенский район,Район_Центральный район,Категория_Иной вид ДТП,Категория_Наезд на велосипедиста,Категория_Наезд на пешехода,Категория_Наезд на препятствие,Категория_Наезд на стоящее ТС,Категория_Опрокидывание,Категория_Отбрасывание предмета,Категория_Падение пассажира,Категория_Столкновение,"Свет_В темное время суток, освещение включено","Свет_В темное время суток, освещение не включено","Свет_В темное время суток, освещение отсутствует",Свет_Светлое время суток,Свет_Сумерки,Ясно,Пасмурно,Снегопад,Дождь,Туман,Метель,Многоквартирные жилые дома,Регулируемый перекресток,Регулируемый пешеходный переход,Административные здания,Нерегулируемый пешеходный переход,Нерегулируемый перекресток,Школа либо иная детская (в т.ч. дошкольная) организация,Выезд с прилегающей территории,Автостоянка (отделенная от проезжей части),Мост,Крупный торговый объект (являющийся объектом массового тяготения пешеходов и (или) транспорта),"Аэропорт, ж/д вокзал (ж/д станция), речной или морской порт (пристань)",Остановка общественного транспорта,Нерегулируемый перекресток неравнозначных улиц (дорог),Остановка трамвая,Медицинские (лечебные) организации,Зоны отдыха,"Мост, эстакада, путепровод",Кладбище,Иная образовательная организация,Остановка маршрутного такси,Нерегулируемый перекресток равнозначных улиц (дорог),Территориальное подразделение МВД России (либо его структурное подразделение),"Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов","Объект (здание, сооружение) религиозного культа",Иной объект,Школа либо иное детское (в т.ч. дошкольное) учреждение,"Нерегулируемый пешеходный переход, расположенный на участке улицы или дороги, проходящей вдоль территории школы или иного детского учреждения",Спортивные и развлекательные объекты,Подземный пешеходный переход,Объект строительства,Жилые дома индивидуальной застройки,АЗС,Тоннель,"Объект торговли, общественного питания на автодороге вне НП",Лечебные учреждения,Производственное предприятие,Надземный пешеходный переход,Иное образовательное учреждение,"Эстакада, путепровод","Тротуар, пешеходная дорожка",Внутридворовая территория,Пешеходная зона,Автовокзал (автостанция),Регулируемый ж/д переезд с дежурным,"Регулируемый пешеходный переход, расположенный на участке улицы или дороги, проходящей вдоль территории школы или иного детского учреждения","Подход к мосту, эстакаде, путепроводу","Регулируемый пешеходный переход, расположенный на участке улицы или дороги, проходящей вдоль территории школы или иной детской организации",Регулируемый ж/д переезд без дежурного,Нерегулируемый ж/д переезд,Нерегулируемое пересечение с круговым движением,Автостоянка (не отделенная от проезжей части),СП ДПС (КПМ),Сухое,Отсутствие пешеходных ограждений в необходимых местах,"Отсутствие, плохая различимость горизонтальной разметки проезжей части",Мокрое,Отсутствие дорожных знаков в необходимых местах,Гололедица,"Неправильное применение, плохая видимость дорожных знаков",Неисправность светофора,Иные недостатки,Заснеженное,Отсутствие дорожных ограждений в необходимых местах,Плохая видимость светофора,Недостатки зимнего содержания,Дефекты покрытия,Нарушения в размещении наружной рекламы,Неровное покрытие,"Отсутствие, плохая различимость вертикальной разметки","Сужение проезжей части, наличие препятствий, затрудняющих движение транспортных средств",Отсутствие тротуаров (пешеходных дорожек),Загрязненное,Обработанное противогололедными материалами,Несоответствие дорожных ограждений предъявляемым требованиям,Недостаточное освещение,Отсутствие освещения,Неудовлетворительное состояние обочин,Отсутствие временных ТСОД в местах проведения работ,Свежеуложенная поверхностная обработка,Со снежным накатом,Несоответствие люков смотровых колодцев и ливневой канализации предъявляемым требованиям,Отсутствие элементов обустройства остановочного пункта общественного пассажирского транспорта,Низкие сцепные качества покрытия,Неисправное освещение,Ограничение видимости,"Отклонение верха головки рельса трамвайных (железнодорожных) путей, расположенных в пределах проезжей части, относительно покрытия, более чем на 2,0 см",Неудовлетворительное состояние разделительной полосы
0,2,1,0,720,59.942309,30.363507,06,5,18:05:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2,1,0,300,59.932065,30.367659,06,1,22:25:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,1,0,710,59.931108,30.370449,05,4,20:10:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,1,0,110,59.926722,30.332222,07,3,09:45:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,1,0,730,59.936944,30.360278,04,2,16:20:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,3,0,300,59.9164,30.345,04,5,20:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,1,0,700,59.936666,30.314873,06,6,14:20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,1,0,130,59.945556,30.331667,08,4,23:44:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,3,1,0,130,59.924001,30.379944,02,2,12:20:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2,1,0,730,59.918613,30.358003,01,1,08:25:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
